Competência,Prêmio Direto,Prêmio Ganho,Sinistro Ocorrido,Sinistralidade
202101,231.069.533,239.660.841,144.167.926,"0,60"
202102,208.917.664,217.418.913,127.646.448,"0,59"
202103,245.992.328,240.669.378,129.241.809,"0,54"
202104,204.197.543,232.240.404,116.035.723,"0,50"
202105,209.500.649,240.537.193,131.296.894,"0,55"
202106,242.097.508,234.564.105,148.058.098,"0,63"
202107,282.789.521,245.211.107,157.713.655,"0,64"
202108,278.530.674,247.595.075,164.989.991,"0,67"
202109,281.319.012,241.225.934,159.845.600,"0,66"
202110,288.207.854,252.577.879,173.508.346,"0,69"
202111,302.273.638,249.335.750,168.926.278,"0,68"
202112,370.484.428,264.071.740,141.205.895,"0,53"
202201,403.362.304,274.826.060,204.449.721,"0,74"
202202,335.816.615,260.632.822,189.068.702,"0,73"
202203,371.808.033,300.143.389,226.206.181,"0,75"
202204,311.791.708,299.463.947,203.427.961,"0,68"
202205,368.484.885,320.097.991,208.926.225,"0,65"
202206,416.258.306,322.898.705,187.720.197,"0,58"
202207,469.738.331,350.167.658,193.605.786,"0,55"
202208,513.233.588,368.945.286,231.100.901,"0,63"
202209,466.788.265,372.815.125,210.302.321,"0,56"
202210,462.386.726,398.567.016,223.168.063,"0,56"
202211,445.686.476,400.112.837,235.490.824,"0,59"
202212,501.445.330,424.559.305,214.371.355,"0,50"
202301,503.893.934,434.092.841,247.630.435,"0,57"
202302,434.068.958,399.071.692,229.616.669,"0,58"
202303,503.191.148,451.434.609,258.602.007,"0,57"
202304,399.377.097,445.699.149,215.757.101,"0,48"
202305,459.405.132,467.347.314,245.528.443,"0,53"
202306,499.484.686,457.936.877,227.093.918,"0,50"